S.N,BUSINESS_DATE,SECURITY_ID,SYMBOL,SECURITY_NAME,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE,PREVIOUS_DAY_CLOSE_PRICE,FIFTY_TWO_WEEKS_HIGH,FIFTY_TWO_WEEKS_LOW,LAST_UPDATED_TIME,LAST_UPDATED_PRICE,TOTAL_TRADES,AVERAGE_TRADED_PRICE,MARKET_CAPITALIZATION,RSI,macd_vs_signal,50_vs_20ema,20sma_vs_price,50sma_vs_price,200sma_vs_price,ltp,bollinger_price
178,2022-02-03,177,RBCL,Rastriya Beema Company Limited,18666,19039,18549,18700,1304,24381081,18300,24370,13907,2022-02-03T14:58:51.537018,18700,77,18697.14,49861.03,90.01542248,UP,Down,Down,Down,Down,18700,above_upper_band
179,2022-02-03,179,HGI,Himalayan General Insurance Co. Ltd,782,787,762.6,774.9,40200,31023642.6,782,982,557,2022-02-03T14:59:52.614246,774.9,114,771.73,8526.51,46.65032945,UP,Down,UP,UP,Down,774.9,between_bands
180,2022-02-03,186,IGI,IME General Insurance Ltd.,1179.9,1190,1158,1160,55325,64849510.8,1170,1465,865,2022-02-03T14:59:59.559482,1160,366,1172.15,13428,47.28683352,UP,Down,UP,UP,Down,1160,between_bands
181,2022-02-03,194,NFS,Nepal Finance Ltd.,735,760,722,744.6,64924,47616594.6,735,806,288,2022-02-03T14:59:42.132286,744.6,335,733.42,3674.57,46.58735044,UP,Down,UP,UP,Down,744.6,between_bands
182,2022-02-03,256,SFCL,Samriddhi Finance Company Limited,418.2,434,408,408.1,28581,11888732.5,410,720,161,2022-02-03T14:59:51.780842,408.1,251,415.96,3341.98,45.94504583,Down,Down,UP,UP,Down,408.1,between_bands
183,2022-02-03,307,NTC,Nepal Doorsanchar Comapany Limited,1575,1600,1516,1560,104116,161909543.8,1568,1600,972,2022-02-03T14:59:59.337509,1560,792,1555.08,234000,48.7660724,Down,Down,UP,UP,Down,1560,between_bands
184,2022-02-03,358,LBBL,Lumbini Bikas Bank Ltd.,549.8,555,532.1,538,122911,67170910.2,539.1,774,233,2022-02-03T14:59:52.087505,538,631,546.5,17669.49,46.26674294,Down,Down,UP,UP,Down,538,between_bands
185,2022-02-03,397,ADBL,Agriculture Development Bank Limited,425,425,420,420.6,47402,20034413.9,423,620,398,2022-02-03T14:59:55.628911,420.6,437,422.64,55468.37,45.95112198,Down,Down,UP,UP,Down,420.6,between_bands
186,2022-02-03,401,MLBL,Mahalaxmi Bikas Bank Ltd.,552,554.8,533,538,146006,79545856.2,542,883,258,2022-02-03T14:59:55.866527,538,780,544.81,21578.55,46.37788584,Down,Down,UP,UP,Down,538,between_bands
187,2022-02-03,403,SLICL,Surya Life Insurance Company Limited,825,829,813,814,18548,15189271.4,817,1091,617.4,2022-02-03T14:59:35.793501,814,139,818.91,20759.3,47.51453843,Down,Down,UP,UP,Down,814,between_bands
188,2022-02-03,473,SHINE,Shine Resunga Development Bank Ltd.,459,459.9,444,444,84026,38052865.2,450.8,655,251,2022-02-03T14:59:59.945124,444,488,452.87,16787.68,45.98983595,Down,Down,UP,UP,Down,444,between_bands
189,2022-02-03,516,MFIL,Manjushree Finance Ltd.,745,760,720,726,27877,20400867.4,732,1456,424,2022-02-03T14:59:58.323047,726,347,731.81,9812.27,47.48817426,Down,Down,UP,UP,Down,726,between_bands
190,2022-02-03,562,MEGA,Mega  Bank Nepal Ltd.,298,299.8,293,296,122235,36287134.3,295,405,251.2,2022-02-03T14:59:59.705382,296,645,296.86,47716.57,45.25478203,Down,Down,UP,UP,Down,296,between_bands
191,2022-02-03,574,SKBBL,Sana Kisan Bikas Bank Ltd,1399,1425,1381,1381.1,8971,12560178.5,1399,2184,1145,2022-02-03T14:59:46.131462,1381.1,104,1400.08,21606.12,51.91296366,Down,Down,UP,UP,Down,1381.1,between_bands
192,2022-02-03,2744,GRDBL,Green Development Bank Ltd.,396,396,379.1,388,26775,10365899.5,389,537.9,162,2022-02-03T14:59:51.642267,388,183,387.14,2013.72,45.94631893,Down,Down,UP,UP,Down,388,between_bands
193,2022-02-03,2766,CHL,Chhyangdi Hydropower Ltd.,509.6,542.2,509.6,513,67245,35341004.4,520,715,168,2022-02-03T14:59:46.347068,513,571,525.55,1963.38,46.84348873,Down,Down,UP,UP,Down,513,between_bands
194,2022-02-03,2780,CMF1,Citizens Mutual Fund -1,10,10.33,10,10.13,15900,162639.5,9.94,16.01,9.03,2022-02-03T14:52:40.024137,10.13,18,10.22,830.66,43.45807058,Down,Down,UP,UP,Down,10.13,between_bands
